id,y
0,0.528
1,0.433
2,0.663
3,0.804
4,0.158
5,0.027
6,0.082
7,0.715
8,0.632
9,0.699
10,0.848
11,0.002
12,0.908
13,0.654
14,0.016
15,0.16
16,0.117
17,0.569
18,0.097
19,0.938
20,0.404
21,0.862
22,0.558
23,0.044
24,0.772
25,0.014
26,0.638
27,0.008
28,0.354
29,0.029
30,0.56
31,0.893
32,0.163
33,0.195
34,0.828
35,0.883
36,0.123
37,0.182
38,0.099
39,0.315
40,0.042
41,0.777
42,0.129
43,0.161
44,0.934
45,0.182
46,0.063
47,0.916
48,0.78
49,0.172
50,0.283
51,0.103
52,0.034
53,0.738
54,0.8
55,0.862
56,0.541
57,0.074
58,0.387
59,0.883
60,0.757
61,0.153
62,0.153
63,0.023
64,0.139
65,0.026
66,0.021
67,0.918
68,0.062
69,0.848
70,0.052
71,0.015
72,0.479
73,0.061
74,0.059
75,0.901
76,0.927
77,0.935
78,0.114
79,0.095
80,0.958
81,0.07
82,0.113
83,0.963
84,0.955
85,0.026
86,0.087
87,0.116
88,0.092
89,0.862
90,0.567
91,0.697
92,0.04
93,0.911
94,0.819
95,0.786
96,0.808
97,0.065
98,0.807
99,0.966
100,0.854
101,0.051
102,0.373
103,0.078
104,0.026
105,0.658
106,0.165
107,0.037
108,0.148
109,0.015
110,0.13
111,0.045
112,0.148
113,0.757
114,0.241
115,0.214
116,0.16
117,0.884
118,0.627
119,0.907
120,0.877
121,0.917
122,0.948
123,0.019
124,0.914
125,0.164
126,0.079
127,0.172
128,0.259
129,0.129
130,0.989
131,0.85
132,0.366
133,0.005
134,0.033
135,0.961
136,0.163
137,0.23
138,0.025
139,0.86
140,0.853
141,0.03
142,0.711
143,0.237
144,0.972
145,0.176
146,0.795
147,0.024
148,0.836
149,0.04
150,0.052
151,0.958
152,0.904
153,0.04
154,0.683
155,0.362
156,0.041
157,0.009
158,0.048
159,0.897
160,0.965
161,0.145
162,0.075
163,0.102
164,0.671
165,0.389
166,0.948
167,0.238
168,0.404
169,0.102
170,0.094
171,0.076
172,0.921
173,0.531
174,0.818
175,0.978
176,0.966
177,0.931
178,0.913
179,0.075
180,0.1
181,0.04
182,0.93
183,0.038
184,0.003
185,0.159
186,0.772
187,0.696
188,0.825
189,0.967
190,0.957
191,0.488
192,0.018
193,0.024
194,0.913
195,0.073
196,0.015
197,0.729
198,0.204
199,0.681
200,0.022
201,0.892
202,0.011
203,0.932
204,0.866
205,0.95
206,0.868
207,0.945
208,0.764
209,0.929
210,0.97
211,0.082
212,0.976
213,0.073
214,0.78
215,0.029
216,0.877
217,0.779
218,0.035
219,0.075
220,0.785
221,0.654
222,0.928
223,0.033
224,0.391
225,0.197
226,0.232
227,0.165
228,0.069
229,0.075
230,0.255
231,0.008
232,0.729
233,0.106
234,0.06
235,0.981
236,0.101
237,0.966
238,0.037
239,0.098
240,0.395
241,0.625
242,0.032
243,0.789
244,0.798
245,0.046
246,0.178
247,0.927
248,0.294
249,0.157
250,0.007
251,0.479
252,0.953
253,0.578
254,0.045
255,0.874
256,0.571
257,0.759
258,0.653
259,0.856
260,0.026
261,0.973
262,0.08
263,0.747
264,0.944
265,0.969
266,0.046
267,0.817
268,0.114
269,0.127
270,0.597
271,0.62
272,0.07
273,0.809
274,0.753
275,0.358
276,0.768
277,0.151
278,0.16
279,0.042
280,0.926
281,0.005
282,0.758
283,0.853
284,0.016
285,0.145
286,0.455
287,0.135
288,0.802
289,0.892
290,0.709
291,0.102
292,0.917
293,0.175
294,0.498
295,0.267
296,0.147
297,0.077
298,0.032
299,0.066
300,0.614
301,0.01
302,0.907
303,0.967
304,0.171
305,0.306
306,0.803
307,0.188
308,0.216
309,0.361
310,0.035
311,0.792
312,0.158
313,0.778
314,0.079
315,0.074
316,0.007
317,0.133
318,0.708
319,0.036
320,0.174
321,0.321
322,0.123
323,0.926
324,0.951
325,0.901
326,0.26
327,0.838
328,0.687
329,0.063
330,0.318
331,0.103
332,0.317
333,0.949
334,0.026
335,0.025
336,0.033
337,0.16
338,0.882
339,0.187
340,0.046
341,0.197
342,0.025
343,0.047
344,0.224
345,0.053
346,0.086
347,0.982
348,0.241
349,0.144
350,0.968
351,0.048
352,0.379
353,0.054
354,0.089
355,0.854
356,0.916
357,0.809
358,0.779
359,0.873
360,0.055
361,0.023
362,0.761
363,0.002
364,0.564
365,0.317
366,0.246
367,0.061
368,0.588
369,0.335
370,0.876
371,0.182
372,0.06
373,0.954
374,0.265
375,0.145
376,0.956
377,0.667
378,0.767
379,0.043
380,0.175
381,0.046
382,0.201
383,0.714
384,0.071
385,0.043
386,0.599
387,0.854
388,0.002
389,0.06
390,0.988
391,0.912
392,0.855
393,0.803
394,0.422
395,0.098
396,0.02
397,0.034
398,0.475
399,0.234
400,0.958
401,0.001
402,0.125
403,0.05
404,0.16
405,0.175
406,0.955
407,0.622
408,0.239
409,0.886
410,0.949
411,0.213
412,0.84
413,0.371
414,0.025
415,0.039
416,0.915
417,0.016
418,0.599
419,0.676
420,0.976
421,0.077
422,0.014
423,0.684
424,0.794
425,0.784
426,0.407
427,0.271
428,0.1
429,0.03
430,0.936
431,0.023
432,0.834
433,0.977
434,0.113
435,0.702
436,0.021
437,0.03
438,0.851
439,0.866
440,0.39
441,0.914
442,0.776
443,0.705
444,0.292
445,0.096
446,0.005
447,0.905
448,0.429
449,0.801
450,0.203
451,0.94
452,0.844
453,0.005
454,0.149
455,0.267
456,0.225
457,0.23
458,0.934
459,0.652
460,0.178
461,0.122
462,0.057
463,0.034
464,0.608
465,0.022
466,0.88
467,0.733
468,0.01
469,0.803
470,0.189
471,0.606
472,0.168
473,0.952
474,0.011
475,0.768
476,0.501
477,0.831
478,0.014
479,0.973
480,0.928
481,0.218
482,0.09
483,0.773
484,0.697
485,0.149
486,0.488
487,0.013
488,0.748
489,0.208
490,0.753
491,0.038
492,0.883
493,0.201
494,0.786
495,0.535
496,0.647
497,0.025
498,0.154
499,0.062
500,0.014
501,0.847
502,0.278
503,0.513
504,0.021
505,0.597
506,0.882
507,0.474
508,0.081
509,0.017
510,0.273
511,0.713
512,0.753
513,0.056
514,0.86
515,0.27
